YEAR,INTERSECTION_NAME,TOTAL_COLLISIONS,MINOR_INJURIES,MAJOR_INJURIES,FATALITIES,FOLLOWED_TOO_CLOSELY,STRUCK_PARKED_VEHICLE,IMPROPER_LANE_CHANGE,RAN_OFF_ROAD,FAILED_TO_YIELD_RIGHT_OF_WAY(NO_CONTROL),BACKED_UNSAFELY,LEFT_OF_CENTRE,LEFT_TURN_ACROSS_PATH,ANIMAL_ACTION,IMPROPER_TURN,STOP_SIGN_VIOLATION,OTHER,PEDESTRIAN_ERROR/VIOLATION,IMPROPER_PASSING,FAILED_TO_YIELD_TO_PEDESTRIAN,IMPROPER_LOADING,DRIVERLESS_VEHICLE,FAILED_TO_OBSERVE_TRAFFIC_SIGNAL,FAILED_TO_YIELD_TO_CYCLIST,SIGNED_FORCED_TURN_VIOLATION,CYCLST_ERROR/VIOLATION,OVERSIZE_VEHICLE,UNKNOWN,ONE_WAY_VIOLATION,YIELD_SIGN_VIOLATION,INANIMATE_OBJECT_ACTION,OPENED_DOOR_INTO_TRAFFIC,LATITUDE,LONGITUDE,LOCATION
2011,23 AVENUE & RABBIT HILL ROAD NW,29,8,0,0,11,0,3,0,0,1,0,9,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,53.4540563,-113.5655579,"(53.4540563, -113.5655579)"
2011,63 AVENUE & GATEWAY BOULEVARD NW,29,6,2,0,13,0,2,0,0,1,0,3,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,53.4998665,-113.4940076,"(53.4998665, -113.4940076)"
2011,90 AVENUE & 75 STREET NW,29,5,0,0,21,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.5252261,-113.4429031,"(53.5252261, -113.4429031)"
2011,WHITEMUD DRIVE EBD & 91 STREET NW,29,8,0,0,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,53.4822907,-113.4668014,"(53.4822907, -113.4668014)"
2011,153 AVENUE & 127 STREET NW,28,6,1,0,13,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,53.6169606,-113.5412231,"(53.6169606, -113.5412231)"
2011,72 AVENUE & 114 STREET NW,28,7,0,0,10,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.5081299,-113.5245282,"(53.5081299, -113.5245282)"
2011,98 AVENUE & 75 STREET NW,28,11,0,0,15,0,0,3,0,0,0,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,53.5375331,-113.4430024,"(53.5375331, -113.4430024)"
2011,STONY PLAIN ROAD & 178 STREET NW,28,6,0,0,13,0,2,1,0,1,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5412749,-113.6274067,"(53.5412749, -113.6274067)"
2011,WHITEMUD DRIVE WBD & CALGARY TRAIL NW,28,7,2,0,14,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,53.4811236,-113.4953746,"(53.4811236, -113.4953746)"
2011,YELLOWHEAD TRAIL & 97 STREET NW,28,10,1,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,53.5814083,-113.4921117,"(53.5814083, -113.4921117)"
